source_file,project_name,primary_category,row_count,pages
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,가설공사/비계,6,"5,6,12,13,14,15"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,공사개요/총칙,32,"2,4,5,6,7,8,9,10,11,17,18,21,22,24,25,26,27,28,30,31 ... 58,64,67,68,70"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,관리/행정/공정,39,"4,5,6,7,8,9,11,12,15,16,17,18,20,24,25,26,27,28,29,31 ... 67,68,69,71,72"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,금속/창호/유리,15,"23,38,39,40,49,50,51,52,53,55,56,59,60,61,62"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,마감/미장/도장/수장/단열,23,"38,40,42,44,45,46,47,48,49,50,57,58,59,60,62,63,65,66,67,68,69,70,71"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,안전/보건,8,"4,10,12,13,14,33,72,73"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,자재관리,40,"7,8,9,19,20,23,29,30,32,34,35,37,39,40,41,42,43,44,45,46 ... 64,65,66,69,73"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,지붕/홈통/방수,4,"3,36,37,61"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,철거/해체/자원재활용,2,"73,74"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,철골공사,14,"21,27,28,29,30,31,32,33,34,35,36,39,52,58"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,철근콘크리트,19,"3,14,19,20,21,22,23,24,25,32,36,37,42,43,45,47,48,70,71"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,토공사/기초,6,"3,13,15,16,17,18"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,품질관리/시험,3,"19,22,26"
normal.pdf,중앙대학교 다빈치캠퍼스 905관 장애인용 승강기 설치공사,환경관리,4,"10,11,16,72"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,가설공사/비계,8,"11,32,45,47,48,49,51,82"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,공사개요/총칙,55,"3,4,6,7,8,9,10,12,13,14,15,16,17,18,19,23,24,25,26,29 ... 93,96,108,112,113"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,관리/행정/공정,71,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22 ... 94,99,100,105,107"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,금속/창호/유리,6,"76,80,88,89,97,103"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,마감/미장/도장/수장/단열,14,"52,56,73,74,75,76,77,78,79,81,84,88,89,103"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,안전/보건,31,"2,5,7,9,10,11,15,19,29,30,31,32,33,34,46,50,54,58,62,85 ... 105,107,108,110,111"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,자재관리,48,"6,8,12,13,14,16,18,20,21,22,23,24,25,27,28,32,35,40,42,45 ... 91,92,98,106,111"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,지붕/홈통/방수,20,"1,3,73,74,75,76,77,78,79,80,85,86,87,88,89,90,91,92,104,109"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,철거/해체/자원재활용,21,"2,38,43,68,93,94,95,96,97,98,99,100,101,102,106,108,109,110,111,112,113"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,철골공사,1,44
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,철근콘크리트,8,"44,74,75,78,87,101,104,106"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,토공사/기초,9,"20,37,46,49,71,90,105,107,109"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,품질관리/시험,10,"21,22,26,27,28,53,57,65,70,92"
일반2.pdf,국토교통인재개발원 옥상정원 보수공사,환경관리,30,"2,5,17,36,37,38,39,40,41,42,43,44,45,46,60,71,72,79,82,95,96,97,98,99,101,102,103,110,112,113"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,가설공사/비계,11,"10,14,26,61,68,149,219,221,326,401,516"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,공사개요/총칙,292,"6,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27 ... 518,522,525,529,535"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,관리/행정/공정,234,"2,6,7,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29 ... 524,527,534,537,543"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,금속/창호/유리,14,"54,312,328,329,330,331,339,436,442,483,485,520,531,539"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,마감/미장/도장/수장/단열,41,"39,43,44,229,247,285,289,307,313,316,319,331,332,333,334,335,336,337,338,339 ... 486,488,490,491,503"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,안전/보건,26,"3,8,9,56,59,60,61,62,63,64,65,66,68,69,71,94,118,132,146,173,177,216,240,336,506,507"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,자재관리,352,"5,10,11,12,16,17,18,19,22,24,25,27,28,29,30,33,35,39,42,43 ... 540,541,542,543,544"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,지붕/홈통/방수,29,"4,44,55,321,347,348,349,350,351,352,353,356,357,358,359,360,361,362,363,364,365,366,367,368,369,372,375,377,495"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,철거/해체/자원재활용,11,"40,67,75,76,77,81,82,83,154,180,456"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,철골공사,56,"4,21,151,171,227,230,244,246,247,251,254,256,257,268,270,271,289,303,304,306 ... 374,477,478,479,514"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,철근콘크리트,251,"3,4,5,10,17,84,86,88,105,106,107,110,111,114,117,124,126,137,144,145 ... 540,541,542,543,544"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,토공사/기초,152,"2,3,32,34,70,74,77,78,79,80,81,82,84,85,86,88,92,95,97,98 ... 507,509,512,517,529"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,품질관리/시험,72,"6,7,31,36,37,38,49,89,96,116,127,138,181,185,186,188,222,231,232,234 ... 538,539,540,541,542"
토목공사+표준일반시방서+2016.pdf,토목공사+표준일반시방서+2016.pdf,환경관리,38,"2,7,8,9,37,40,41,45,57,59,64,69,70,71,72,74,90,94,109,148 ... 473,523,531,533,536"
